NombreJugador,Equipo,Asistencias
Patrick Patterson,Toronto Raptors,14
James Johnson,Toronto Raptors,15
Cory Joseph,Toronto Raptors,15
Kobe Bryant,Los Angeles Lakers,25
Kobe Bryant,Los Angeles Lakers,14
Tarik Black,Los Angeles Lakers,23
Duje Dukan,Sacramento Kings,13
Duje Dukan,Sacramento Kings,14
Duje Dukan,Sacramento Kings,11
Taj Gibson,Chicago Bulls,14
Taj Gibson,Chicago Bulls,14
Kevin Love,Cleveland Cavaliers,15
Kevin Love,Cleveland Cavaliers,16
Jeremy Evans,Dallas Mavericks,13
J.J. Barea,Dallas Mavericks,26
Raymond Felton,Dallas Mavericks,14
J.J. Barea,Dallas Mavericks,16
