jugador.name,jugador.altura
Brook Lopez,213.36
Chris McCullough,186.2328
Willie Reed,185.928
Thomas Robinson,185.928
Henry Sims,185.928
Donald Sloan,192.024
Thaddeus Young,207.264
Nerlens Noel,186.2328
Jahlil Okafor,186.2328
Ish Smith,182.88
Nik Stauskas,201.168
Hollis Thompson,207.264
Christian Wood,186.2328
Bismack Biyombo,210.312
Bruno Caboclo,210.312
DeMarre Carroll,207.264
DeMar DeRozan,204.216
James Johnson,210.312
Cory Joseph,192.024
Kyle Lowry,182.88
Lucas Nogueira,213.36
Patrick Patterson,210.312
Norman Powell,195.072
Terrence Ross,204.216
Luis Scola,210.312
Jason Thompson,186.2328
Jonas Valanciunas,213.36
Delon Wright,198.12
Leandro Barbosa,192.024
Harrison Barnes,207.264
Andrew Bogut,213.36
Ian Clark,192.024
Stephen Curry,192.024
Festus Ezeli,186.2328
Draymond Green,204.216
Andre Iguodala,201.168
Shaun Livingston,204.216
Arron Afflalo,198.12
Kevon Looney,210.312
James Michael McAdoo,210.312
Brandon Rush,201.168
Marreese Speights,185.928
Klay Thompson,204.216
Anderson Varejao,186.2328
Cole Aldrich,186.2328
Jeff Ayres,210.312
Jamal Crawford,198.12
Branden Dawson,201.168
Jeff Green,210.312
Blake Griffin,185.928
Wesley Johnson,204.216
DeAndre Jordan,186.2328
Luc Richard Mbah a Moute,207.264
Chris Paul,182.88
Paul Pierce,204.216
Pablo Prigioni,192.024
JJ Redick,195.072
Austin Rivers,195.072
C.J. Wilcox,198.12
Brandon Bass,207.264
Tarik Black,210.312
Anthony Brown,204.216
Kobe Bryant,201.168
Jordan Clarkson,198.12
Roy Hibbert,219.456
Marcelo Huertas,192.024
Ryan Kelly,186.2328
Larry Nance Jr.,210.312
Julius Randle,210.312
D'Angelo Russell,198.12
Robert Sacre,213.36
Louis Williams,185.928
Metta World Peace,204.216
Nick Young,204.216
Eric Bledsoe,185.928
Devin Booker,201.168
Chase Budinger,204.216
Tyson Chandler,216.408
Archie Goodwin,198.12
John Jenkins,195.072
Brandon Knight,192.024
Alex Len,216.408
Jon Leuer,185.928
Phil Pressey,155.7528
Ronnie Price,188.976
Mirza Teletovic,210.312
P.J. Tucker,201.168
T.J. Warren,207.264
Alan Williams,207.264
Quincy Acy,204.216
James Anderson,201.168
Marco Belinelli,198.12
Caron Butler,204.216
Omri Casspi,210.312
Willie Cauley-Stein,213.36
Darren Collison,182.88
DeMarcus Cousins,186.2328
Seth Curry,188.976
Duje Dukan,210.312
Rudy Gay,207.264
Kosta Koufos,213.36
Ben McLemore,198.12
Eric Moreland,185.928
Rajon Rondo,185.928
Lou Amundson,210.312
Cameron Bairstow,210.312
Thanasis Antetokounmpo,204.216
Carmelo Anthony,207.264
Jose Calderon,192.024
Cleanthony Early,207.264
Langston Galloway,188.976
Jerian Grant,195.072
Robin Lopez,213.36
Kyle O'Quinn,185.928
Aaron Brooks,182.88
Jimmy Butler,204.216
Mike Dunleavy,210.312
